bd_fin_assets,bd_liabilities
18513.0,17690.0
14615.0,13739.0
15847.0,14953.0
12890.0,12030.0
15402.0,14553.0
13071.0,12285.0
11741.0,10996.0
13298.0,12576.0
16246.0,15509.0
14861.0,14097.0
14332.0,13510.0
14491.0,13607.0
17610.0,16700.0
17309.0,16242.0
18628.0,17428.0
18761.0,17547.0
22935.0,21739.0
18448.0,16977.0
17755.0,16017.0
16902.0,14907.0
20294.0,18067.0
16459.0,13966.0
17469.0,14790.0
17444.0,14578.0
18249.0,15289.0
17450.0,14255.0
18318.0,14888.0
17269.0,13604.0
21486.0,17589.0
24301.0,20651.0
25430.0,21755.0
29444.0,25838.0
34141.0,30435.0
27720.0,24144.0
30344.0,26710.0
27744.0,24154.0
29952.0,26566.0
31958.0,28393.0
33843.0,30155.0
35165.0,31251.0
32520.0,28641.0
31805.0,27728.0
41634.0,37417.0
40157.0,35841.0
32683.0,28507.0
36918.0,32686.0
42098.0,37082.0
44369.0,39480.0
45358.0,39087.0
53658.0,47072.0
52462.0,45540.0
47271.0,40667.0
59758.0,52529.0
55929.0,49061.0
54746.0,47941.0
58017.0,50818.0
83275.0,74904.0
70559.0,61580.0
77507.0,67786.0
83060.0,73115.0
90463.0,80056.0
80859.0,70740.0
74790.0,64997.0
89356.0,78858.0
118406.0,108142.0
91090.0,80205.0
107893.0,96226.0
113608.0,100972.0
156016.0,141328.0
179853.0,163025.0
181731.0,163425.0
171340.0,152340.0
184585.0,164304.0
169052.0,148340.0
159247.0,138975.0
161205.0,140386.0
137948.0,114509.0
146545.0,122006.0
144187.0,117227.0
137822.0,112209.0
135870.0,111468.0
143926.0,119017.0
187100.0,162229.0
187148.0,161294.0
236560.0,213178.0
204929.0,182308.0
204116.0,181352.0
199477.0,178129.0
262133.0,239240.0
250256.0,226958.0
269760.0,246455.0
308128.0,284793.0
332510.0,308668.0
322491.0,297507.0
343358.0,316290.0
395721.0,368506.0
381732.0,352783.0
415981.0,389479.0
438845.0,416080.0
462534.0,439129.0
478778.0,460627.0
469867.0,451483.0
465580.0,448617.0
469482.0,452789.0
454724.0,429118.0
472668.0,445727.0
491805.0,465261.0
503170.0,476030.0
568105.0,541796.0
569408.0,541911.0
565266.0,538395.0
583126.0,555990.0
636351.0,609450.0
655395.0,626605.0
717430.0,688227.0
748810.0,716958.0
779194.0,750095.0
918109.0,883936.0
917075.0,881302.0
989703.0,955160.0
921179.0,885796.0
893755.0,856890.0
900485.0,859427.0
921364.0,879537.0
1001002.0,960543.0
1132525.0,1085639.0
1132907.0,1085276.0
1208607.0,1159986.0
1221388.0,1185285.0
1211486.0,1174358.0
1334881.0,1297625.0
1462638.0,1426499.0
1465640.0,1424624.0
1441358.0,1397322.0
1465244.0,1420210.0
1419722.0,1375200.0
1335420.0,1272708.0
1385505.0,1321518.0
1512117.0,1443856.0
1560696.0,1488418.0
1613023.0,1540086.0
1703296.0,1629329.0
1652788.0,1579135.0
1772403.0,1696059.0
1844886.0,1777849.0
1947066.0,1878063.0
2040259.0,1969736.0
2117585.0,2043907.0
2127050.0,2052605.0
2288071.0,2200854.0
2402562.0,2313502.0
2584491.0,2492012.0
2741746.0,2669063.0
3020297.0,2944714.0
3169543.0,3092601.0
3201937.0,3128849.0
3092024.0,3019379.0
3244240.0,3183605.0
2957944.0,2901559.0
3001925.0,2971747.0
2217183.0,2158143.0
1925452.0,1858175.0
2011360.0,1924764.0
2060636.0,1964929.0
2084221.0,1977686.0
2091950.0,1979901.0
1977902.0,1864794.0
2025703.0,1915535.0
2075145.0,1975830.0
2094435.0,1993308.0
2121140.0,2023106.0
1971401.0,1883615.0
1949702.0,1870911.0
2063829.0,1978049.0
2052880.0,1967675.0
2048823.0,1957817.0
2068299.0,1977250.42
